fact_text,correct_node_id,notes,stratum,proposed_node_id,proposed_node_title,judge_confidence,decision,review_reasons,degraded_target,degraded_reason,section_margin,source_quote,span,kb_row_id,cand1_section,cand1_title,cand1_sim,cand1_leaves,cand2_section,cand2_title,cand2_sim,cand2_leaves,cand3_section,cand3_title,cand3_sim,cand3_leaves
Institutions need stronger research governance without overstepping academic autonomy.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.0008,Need stronger research governance without overstepping academic autonomy.,399:472,aae1ea5b-3941-4566-90aa-919dc8cfc827,BP.7.3,AI Governance and Ethical Constraints,0.3041,BP.7.3.1 AI Governance Framework; BP.7.3.2 Human Oversight Requirements; BP.7.3.3 Ethical Constraints; BP.7.3.4 Prohibited AI Uses; BP.7.3.5 AI Governance Assumptions; BP.7.3.6 AI Governance Dependencies; BP.7.3.7 AI Governance Evidence Requirements; BP.7.3.8 Prohibited AI Governance Inferences; BP.7.3.9 AI Governance Acceptance Check; BP.7.3.10 Model and Vendor Governance Requirements,BP.7.2,Data Processing and Privacy Governance,0.3033,BP.7.2.1 Data Classification; BP.7.2.11 DPA Readiness; BP.7.2.2 Subprocessor Governance; BP.7.2.12 Data Processing Activities; BP.7.2.3 No-Training / No-Fine-Tuning Policy; BP.7.2.13 Personal and Confidential Data; BP.7.2.4 Data Storage and Retention; BP.7.2.14 Derived Data Policy; BP.7.2.5 Data Retention Policy; BP.7.2.15 Privacy Assumptions; BP.7.2.6 Data Governance Dependencies; BP.7.2.7 Privacy Evidence Requirements; BP.7.2.8 Prohibited Privacy and Data Governance Inferences; BP.7.2.9 Data Governance Acceptance Check; BP.7.2.10 Diagnostic Data Pipeline Requirements; BP.7.2.16 Legal & DPO Support,BP.6.5,Institutional Legitimacy and Trust Friction,0.2969,BP.6.5.6 Trust Assumptions; BP.6.5.1 Institutional Legitimacy Requirements; BP.6.5.2 Trust Factors; BP.6.5.3 Trust Friction Inventory; BP.6.5.4 Institutional Politics; BP.6.5.5 Reputation Dependencies; BP.6.5.8 Prohibited Trust and Legitimacy Inferences; BP.6.5.9 Trust and Legitimacy Acceptance Check; BP.6.5.7 Trust Evidence Requirements
No reviewer interviews have been conducted yet.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.0461,No reviewer interviews yet.,71:98,693dd8fe-9c3d-4124-a0b9-2c4966465765,BP.1.2,Product Non-Scope,0.2304,BP.1.2.1 Writing Assistance Exclusion; BP.1.2.2 Generative Writing Exclusion; BP.1.2.3 General Chatbot Exclusion; BP.1.2.4 Integrity Detection Exclusion; BP.1.2.5 Acceptance Prediction Exclusion; BP.1.2.6 Peer Review Replacement Exclusion; BP.1.2.7 Autonomous Decision Exclusion; BP.1.2.8 Truth Determination Exclusion; BP.1.2.9 Non-Scope Acceptance Check,BP.7.2,Data Processing and Privacy Governance,0.1843,BP.7.2.1 Data Classification; BP.7.2.11 DPA Readiness; BP.7.2.2 Subprocessor Governance; BP.7.2.12 Data Processing Activities; BP.7.2.3 No-Training / No-Fine-Tuning Policy; BP.7.2.13 Personal and Confidential Data; BP.7.2.4 Data Storage and Retention; BP.7.2.14 Derived Data Policy; BP.7.2.5 Data Retention Policy; BP.7.2.15 Privacy Assumptions; BP.7.2.6 Data Governance Dependencies; BP.7.2.7 Privacy Evidence Requirements; BP.7.2.8 Prohibited Privacy and Data Governance Inferences; BP.7.2.9 Data Governance Acceptance Check; BP.7.2.10 Diagnostic Data Pipeline Requirements; BP.7.2.16 Legal & DPO Support,BP.9.3,GTM First Motion,0.17,BP.9.3.1 GTM Strategy Definition; BP.9.3.2 Initial Sales Channel; BP.9.3.3 Customer Acquisition Motion; BP.9.3.4 GTM Sequencing; BP.9.3.5 GTM Assumptions; BP.9.3.6 GTM Dependencies; BP.9.3.7 GTM Evidence Requirements; BP.9.3.8 Prohibited GTM Inferences; BP.9.3.9 GTM Acceptance Check
The user value of claim extraction is that it makes analysis granular.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.2426,Makes analysis granular.,6803:6827,509397ff-9fdc-4f80-b1d9-584bb17768e8,BP.1.8,Technical Feasibility and MVP Architecture,0.5507,BP.1.8.13 Confidence & Uncertainty Display; BP.1.8.14 Export Format Architecture; BP.1.8.6 Evaluation Benchmark Architecture; BP.1.8.7 Model and Vendor Strategy; BP.1.8.15 Engineering Roadmap; BP.1.8.16 Build-vs-Buy Strategy; BP.1.8.10 Issue Card Format; BP.1.8.11 Severity & Prioritisation Display; BP.1.8.12 Revision Recommendation Format; BP.1.8.1 MVP Diagnostic Workflow Architecture; BP.1.8.2 Manuscript Ingestion and Parsing Architecture; BP.1.8.3 Claim Extraction and Classification Architecture; BP.1.8.4 Evidence Mapping and Inference Checking Architecture; BP.1.8.5 Output Traceability and Human Review Workflow Architecture; BP.1.8.8 Security Architecture and Deployment Model; BP.1.8.9 Technical Architecture Acceptance Check,BP.11.1,Evidence-Consistent Narrative Architecture,0.3081,BP.11.1.4 Evidence-to-Claim Mapping; BP.11.1.1 Narrative Objectives; BP.11.1.2 Core Narrative Structure; BP.11.1.3 Narrative Claim Inventory; BP.11.1.5 Narrative Assumptions; BP.11.1.6 Narrative Dependencies; BP.11.1.7 Narrative Evidence Requirements; BP.11.1.8 Prohibited Narrative Inferences; BP.11.1.9 Narrative Architecture Acceptance Check,BP.9.1,"Value Creation, Delivery, and Capture Logic",0.3074,BP.9.1.1 Value Proposition Definition; BP.9.1.2 Value Creation Logic; BP.9.1.7 Value Logic Evidence Requirements; BP.9.1.3 Value Delivery Logic; BP.9.1.4 Value Capture Logic; BP.9.1.5 Business Model Assumptions; BP.9.1.6 Business Model Dependencies; BP.9.1.8 Prohibited Business Model Inferences; BP.9.1.9 Value Creation and Capture Acceptance Check
Publishers face review burden.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.2001,"Research-integrity risk, review burden, AI-assisted submissions.",121:185,d7b55ac5-f9c8-4b73-9c83-ed248b1fb7aa,BP.8.7,Incumbent and Platform Threats,0.4787,BP.8.7.1 Incumbent Threat Inventory; BP.8.7.2 Platform Dependency Risks; BP.8.7.3 Publisher Threats; BP.8.7.4 AI Platform Threats; BP.8.7.5 Threat Assumptions; BP.8.7.6 Threat Monitoring Dependencies; BP.8.7.7 Threat Evidence Requirements; BP.8.7.8 Prohibited Threat Inferences; BP.8.7.9 Threat Architecture Acceptance Check,BP.7.5,Segment-Specific Compliance Requirements,0.2786,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.1.3.6,User Journey Architecture,0.2405,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic
Auditability/transparency value is confirmed as a product principle.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.0575,CONFIRMED as product principle,6175:6205,1c9ef459-cbd7-41a0-8dd3-61d04bfe1e68,BP.7.5,Segment-Specific Compliance Requirements,0.406,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.6.7,BP.6 Discovery and Adoption Acceptance Check,0.3485,BP.6.7.1 Discovery Architecture Completeness Review; BP.6.7.2 JTBD and Discovery Audit; BP.6.7.4 Pain and Barrier Audit; BP.6.7.5 Value Perception and WTP Audit; BP.6.7.6 Adoption Architecture Audit; BP.6.7.7 BP.12 Uncertainty Routing Review; BP.6.7.8 Controller Review and Acceptance Decision; BP.6.7.9 BP.6 Branch Acceptance Check; BP.6.7.3 Alternatives and Behaviour Audit,BP.1.7,Product Evidence Standards,0.3214,BP.1.7.1 BP.1 Claim Classification; BP.1.7.2 Evidence Tier Requirements; BP.1.7.3 Allowed Sources and Source Routing; BP.1.7.4 Prohibited Claims and Inference Patterns; BP.1.7.5 Evidence Escalation and Dependency Rules; BP.1.7.6 Product Evidence Acceptance Check; BP.1.7.10 Canonical Issue Taxonomy; BP.1.7.11 Severity Rubric
Research assistant budget source is research group.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.0043,Research group.,1897:1912,5a804edf-4a45-4414-b5b5-44615e2ede60,BP.5.6,BP.5 Buying System Acceptance Check,0.2425,BP.5.6.1 Buying Architecture Completeness Review; BP.5.6.2 Role Map Audit; BP.5.6.3 Buying Centre Audit; BP.5.6.4 Budget Authority Audit; BP.5.6.5 Procurement Architecture Audit; BP.5.6.6 Outstanding Buying-System Assumptions; BP.5.6.7 BP.12 Uncertainty Routing Review; BP.5.6.8 Controller Review and Acceptance Decision; BP.5.6.9 BP.5 Branch Acceptance Check,BP.5.3,Economic Buyer and Budget Authority,0.2382,BP.5.3.5 Funding Source Assumptions; BP.5.3.1 Economic Buyer Identification; BP.5.3.2 Budget Ownership; BP.5.3.3 Spending Authority; BP.5.3.4 Budget Approval Logic; BP.5.3.6 Budget Constraints; BP.5.3.7 Budget Authority Evidence Requirements; BP.5.3.8 Prohibited Budget Authority Inferences; BP.5.3.9 Budget Authority Acceptance Check,BP.7.4,Confidentiality and Research Data Risk,0.2287,BP.7.4.1 Audit Logging Architecture; BP.7.4.2 Administrative Access Governance; BP.7.4.13 Data Handling Requirements; BP.7.4.3 Security Documentation Governance; BP.7.4.4 Incident Response Governance; BP.7.4.10 Confidential Data Types; BP.7.4.11 Research Data Classification; BP.7.4.12 Confidentiality Risks; BP.7.4.5 Confidentiality Assumptions; BP.7.4.6 Confidentiality Dependencies; BP.7.4.7 Confidentiality Evidence Requirements; BP.7.4.8 Prohibited Confidentiality Inferences; BP.7.4.9 Confidentiality Acceptance Check
Library / Research Infrastructure Directors have medium to high buying power.,,,judge_unsure,BP.5.2.3,Stakeholder Influence Mapping,low,parent_parked,judge_unsure,False,,0.0175,Medium/high.,2781:2793,96b65954-203b-4248-b2aa-89caadc23b58,BP.5.2,Buying Centre and Stakeholder Power,0.2479,BP.5.2.1 Buying Centre Composition; BP.5.2.2 Stakeholder Identification; BP.5.2.3 Stakeholder Influence Mapping; BP.5.2.4 Decision Authority Relationships; BP.5.2.5 Blocker and Champion Analysis; BP.5.2.6 Buying Centre Assumptions; BP.5.2.7 Buying Centre Evidence Requirements; BP.5.2.8 Prohibited Buying Centre Inferences; BP.5.2.9 Buying Centre Acceptance Check,BP.6.3,Pain Intensity and Adoption Barriers,0.2304,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry,BP.10.2,Behavioural Evidence and Workflow-Triggered Use,0.2231,BP.10.2.1 Behavioural Success Metrics; BP.10.2.2 Workflow Trigger Definition; BP.10.2.3 Behavioural Observation Framework; BP.10.2.4 Behavioural Measurement Logic; BP.10.2.5 Behavioural Assumptions; BP.10.2.6 Behavioural Dependencies; BP.10.2.7 Behavioural Evidence Requirements; BP.10.2.8 Prohibited Behavioural Inferences; BP.10.2.9 Behavioural Evidence Acceptance Check; BP.10.2.11 Pilot Deliverables; BP.10.2.12 Pre/Post Comparison Design; BP.10.2.13 Pilot Conversion Criteria; BP.10.2.14 Testimonial & Case Study Governance; BP.10.2.15 Institutional Reference Strategy; BP.10.2.10 Pilot Duration
The credibility threshold is confirmed as needed validation.,,,judge_unsure,BP.10.1.5,Validation Assumptions,low,parent_parked,judge_unsure,False,,0.0009,CONFIRMED as needed validation,6530:6560,e47b2ce8-aaef-41ce-8df4-9c21d8ed5fdc,BP.10.1,Validation Strategy and Pilot Design,0.4403,BP.10.1.15 Design Partner Governance; BP.10.1.1 Validation Objectives; BP.10.1.2 Validation Hypotheses; BP.10.1.3 Pilot Design; BP.10.1.4 Validation Scope; BP.10.1.5 Validation Assumptions; BP.10.1.6 Validation Dependencies; BP.10.1.7 Validation Evidence Requirements; BP.10.1.8 Prohibited Validation Inferences; BP.10.1.9 Validation Strategy Acceptance Check; BP.10.1.10 Diagnostic Benchmark Protocol,BP.10.4,Validation Dependencies and Decision Thresholds,0.4394,BP.10.4.1 Validation Decision Criteria; BP.10.4.2 Proceed Criteria; BP.10.4.3 Revise Criteria; BP.10.4.4 Defer Criteria; BP.10.4.5 Kill Criteria; BP.10.4.6 Validation Dependencies; BP.10.4.7 Decision Evidence Requirements; BP.10.4.8 Prohibited Decision Inferences; BP.10.4.9 Decision Threshold Acceptance Check,BP.6.5,Institutional Legitimacy and Trust Friction,0.418,BP.6.5.6 Trust Assumptions; BP.6.5.1 Institutional Legitimacy Requirements; BP.6.5.2 Trust Factors; BP.6.5.3 Trust Friction Inventory; BP.6.5.4 Institutional Politics; BP.6.5.5 Reputation Dependencies; BP.6.5.8 Prohibited Trust and Legitimacy Inferences; BP.6.5.9 Trust and Legitimacy Acceptance Check; BP.6.5.7 Trust Evidence Requirements
What must be proven for institutional value is institutional buyer willingness to pay and procurement feasibility.,,,judge_unsure,BP.6.5.7,Trust Evidence Requirements,low,parent_parked,judge_unsure,False,,0.0543,Institutional buyer WTP and procurement feasibility.,5620:5672,30cb6d75-78ff-4223-88c3-d323d40da126,BP.6.5,Institutional Legitimacy and Trust Friction,0.4356,BP.6.5.6 Trust Assumptions; BP.6.5.1 Institutional Legitimacy Requirements; BP.6.5.2 Trust Factors; BP.6.5.3 Trust Friction Inventory; BP.6.5.4 Institutional Politics; BP.6.5.5 Reputation Dependencies; BP.6.5.8 Prohibited Trust and Legitimacy Inferences; BP.6.5.9 Trust and Legitimacy Acceptance Check; BP.6.5.7 Trust Evidence Requirements,BP.8.6,Trust Architecture,0.3813,BP.8.6.1 Trust Requirements; BP.8.6.2 Credibility Mechanisms; BP.8.6.3 Institutional Trust Factors; BP.8.6.4 Reputation Architecture; BP.8.6.5 Trust Assumptions; BP.8.6.6 Trust Dependencies; BP.8.6.7 Trust Evidence Requirements; BP.8.6.8 Prohibited Trust Inferences; BP.8.6.9 Trust Architecture Acceptance Check,BP.9.2,Pricing Hypothesis Governance,0.3803,BP.9.2.14 Procurement-Friendly Offer Architecture; BP.9.2.3 Pricing Assumptions; BP.9.2.1 Pricing Model Definition; BP.9.2.2 Pricing Structure; BP.9.2.4 Packaging Strategy; BP.9.2.5 Discount and Negotiation Logic; BP.9.2.6 Pricing Dependencies; BP.9.2.7 Pricing Evidence Requirements; BP.9.2.8 Prohibited Pricing Inferences; BP.9.2.9 Pricing Acceptance Check; BP.9.2.10 Package Tier Architecture; BP.9.2.11 Usage Limit Policy; BP.9.2.12 Pricing Metric Architecture; BP.9.2.13 Discount Governance
Associate Deans for Research have high buying power.,,,judge_unsure,BP.5.2.3,Stakeholder Influence Mapping,low,parent_parked,judge_unsure,False,,0.0044,High.,2223:2228,e2edf13f-96f3-4ef8-a2d7-75ae7c609585,BP.5.2,Buying Centre and Stakeholder Power,0.2284,BP.5.2.1 Buying Centre Composition; BP.5.2.2 Stakeholder Identification; BP.5.2.3 Stakeholder Influence Mapping; BP.5.2.4 Decision Authority Relationships; BP.5.2.5 Blocker and Champion Analysis; BP.5.2.6 Buying Centre Assumptions; BP.5.2.7 Buying Centre Evidence Requirements; BP.5.2.8 Prohibited Buying Centre Inferences; BP.5.2.9 Buying Centre Acceptance Check,BP.5.1,User and Buyer Role Map,0.224,BP.5.1.1 End User Definition; BP.5.1.2 Buyer Definition; BP.5.1.3 Influencer Definition; BP.5.1.4 Blocker Definition; BP.5.1.5 Approver Definition; BP.5.1.6 Decision-Maker Definition; BP.5.1.7 Role Evidence Requirements; BP.5.1.8 Prohibited Role Inferences; BP.5.1.9 User and Buyer Role Acceptance Check,BP.5.5,Budget Cycle and Decision Timing,0.1937,BP.5.5.1 Budget Cycle Definition; BP.5.5.2 Budget Planning Window; BP.5.5.3 Decision Timing; BP.5.5.4 Purchase Triggers; BP.5.5.5 Timing Constraints; BP.5.5.6 Budget Timing Assumptions; BP.5.5.7 Budget Timing Evidence Requirements; BP.5.5.8 Prohibited Timing Inferences; BP.5.5.9 Budget Cycle Acceptance Check
The research assistant persona is inferred from workflow.,,,node_degraded,BP.1.3.6.1,Researcher Upload Journey,low,review,node_degraded,True,null_required_output,0.1846,"Inferred from workflow.
INFERRED",1980:2012,713d4a43-02a7-4103-9269-e0bf1106e88e,BP.1.3.6,User Journey Architecture,0.4992,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.6.3,Pain Intensity and Adoption Barriers,0.3146,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry,BP.1.4,Product Boundary,0.296,BP.1.4.1 Workflow Entry Trigger; BP.1.4.2 Workflow Task Sequence; BP.1.4.3 Workflow Entry Boundary; BP.1.4.4 Workflow Exit Boundary; BP.1.4.5 Human Decision Point Registry; BP.1.4.6 Workflow Acceptance Check
A procurement barrier for associate editors is editorial workflow integration.,,,node_degraded,BP.1.3.6.4,Journal & Editor Workflow,high,review,node_degraded,True,null_required_output,0.1763,Editorial workflow integration.,1760:1791,8179529d-722e-4e56-a62c-2fe8634877b4,BP.1.3.6,User Journey Architecture,0.5365,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.7.5,Segment-Specific Compliance Requirements,0.3602,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.5.4,Procurement Path and Approval Logic,0.3248,BP.5.4.1 Procurement Process Definition; BP.5.4.2 Procurement Stages; BP.5.4.3 Approval Workflow; BP.5.4.4 Procurement Blockers; BP.5.4.5 Procurement Dependencies; BP.5.4.6 Procurement Assumptions; BP.5.4.7 Procurement Evidence Requirements; BP.5.4.8 Prohibited Procurement Inferences; BP.5.4.9 Procurement Path Acceptance Check
The doctoral student / DBA candidate persona need is pre-submission feedback and claim-level risk detection.,,,node_degraded,BP.1.3.6.2,Doctoral Programme Workflow,high,review,node_degraded,True,null_required_output,0.004,Pre-submission feedback and claim-level risk detection.,1054:1109,3fca9edb-a44a-4ae1-bedb-8cb62ed0e2ba,BP.1.3.6,User Journey Architecture,0.2877,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.7.2,Data Processing and Privacy Governance,0.2837,BP.7.2.1 Data Classification; BP.7.2.11 DPA Readiness; BP.7.2.2 Subprocessor Governance; BP.7.2.12 Data Processing Activities; BP.7.2.3 No-Training / No-Fine-Tuning Policy; BP.7.2.13 Personal and Confidential Data; BP.7.2.4 Data Storage and Retention; BP.7.2.14 Derived Data Policy; BP.7.2.5 Data Retention Policy; BP.7.2.15 Privacy Assumptions; BP.7.2.6 Data Governance Dependencies; BP.7.2.7 Privacy Evidence Requirements; BP.7.2.8 Prohibited Privacy and Data Governance Inferences; BP.7.2.9 Data Governance Acceptance Check; BP.7.2.10 Diagnostic Data Pipeline Requirements; BP.7.2.16 Legal & DPO Support,BP.10.1,Validation Strategy and Pilot Design,0.2558,BP.10.1.15 Design Partner Governance; BP.10.1.1 Validation Objectives; BP.10.1.2 Validation Hypotheses; BP.10.1.3 Pilot Design; BP.10.1.4 Validation Scope; BP.10.1.5 Validation Assumptions; BP.10.1.6 Validation Dependencies; BP.10.1.7 Validation Evidence Requirements; BP.10.1.8 Prohibited Validation Inferences; BP.10.1.9 Validation Strategy Acceptance Check; BP.10.1.10 Diagnostic Benchmark Protocol
Associate editors have medium influence.,,,node_degraded,BP.7.5.12,Author–Supervisor–Editor Role Boundaries,low,review,node_degraded,True,null_required_output,0.1279,Medium influence.,1699:1716,914449b9-ba50-4b78-be40-96e6d853bd42,BP.7.5,Segment-Specific Compliance Requirements,0.3964,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.1.3.6,User Journey Architecture,0.2685,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.5.2,Buying Centre and Stakeholder Power,0.2162,BP.5.2.1 Buying Centre Composition; BP.5.2.2 Stakeholder Identification; BP.5.2.3 Stakeholder Influence Mapping; BP.5.2.4 Decision Authority Relationships; BP.5.2.5 Blocker and Champion Analysis; BP.5.2.6 Buying Centre Assumptions; BP.5.2.7 Buying Centre Evidence Requirements; BP.5.2.8 Prohibited Buying Centre Inferences; BP.5.2.9 Buying Centre Acceptance Check
